q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.00587,-0.120845,0.000327,2.89093,3.02916,-4.00863,0,0,0,0.000180468,1.82375,-1.41617,0.000842186,0.00168437,-0.106356,0,1.82649,-1.42204,6.96E-07,0.0777791,-0.227201,-0.444146,0.100034,-0.188133,-0.443107,0.1,-0.187806
-0.00598,-0.114,0.000345,2.89755,3.07409,-3.98738,0,0,0,0.000180468,1.82375,-1.41629,0.000842186,0.00162421,-0.115921,0,1.82657,-1.42227,7.05E-07,0.0786994,-0.229921,-0.444115,0.100034,-0.188151,-0.443061,0.1,-0.187806
-0.00609,-0.123454,0.000364,2.89363,3.03725,-4.0131,0,0,0,0.000180468,1.82375,-1.41641,0.000842186,0.00162421,-0.109183,0,1.82665,-1.4225,7.13E-07,0.0796185,-0.232637,-0.444083,0.100034,-0.188169,-0.443015,0.1,-0.187805
-0.00614,-0.126156,0.000392,2.89442,3.03617,-4.01785,0,0,0,0.000180468,1.82375,-1.41659,0.000782029,0.0015039,-0.109183,0,1.82673,-1.42273,7.21E-07,0.0805268,-0.235339,-0.444035,0.100034,-0.188196,-0.442968,0.1,-0.187804
-0.00638,-0.128891,0.000393,2.89479,3.03144,-4.02651,0,0,0,0.000180468,1.82375,-1.41659,0.000782029,0.0015039,-0.109183,0,1.82681,-1.42297,7.3E-07,0.0814627,-0.238074,-0.444035,0.100034,-0.188196,-0.44292,0.1,-0.187803
-0.0065,-0.126726,0.000411,2.89799,3.05118,-4.01908,0,0,0,0.000180468,1.82375,-1.41671,0.000782029,0.0015039,-0.114056,0,1.82689,-1.42321,7.38E-07,0.0823781,-0.240782,-0.444003,0.100034,-0.188214,-0.442872,0.1,-0.187803
-0.00662,-0.128655,0.000403,2.89864,3.05021,-4.02445,0,0,0,0.000180468,1.82381,-1.41683,0.000782029,0.00144375,-0.114838,0,1.82697,-1.42345,7.46E-07,0.0833009,-0.243493,-0.443983,0.100034,-0.188205,-0.442824,0.1,-0.187802
-0.00674,-0.135214,0.000395,2.88923,2.99034,-4.06107,0,0,0,0.000180468,1.82387,-1.41695,0.000782029,0.00499296,-0.110988,0,1.82706,-1.42369,7.55E-07,0.0842227,-0.246202,-0.443962,0.100034,-0.188196,-0.442775,0.1,-0.187801
-0.00687,-0.137793,0.000414,2.83566,2.71289,-4.20808,0,0,0,0.000180468,1.82387,-1.41707,0.000782029,0.0332663,-0.111108,0,1.82714,-1.42394,7.63E-07,0.0851345,-0.248901,-0.44393,0.100034,-0.188214,-0.442725,0.1,-0.1878
-0.007,-0.1346,0.000405,2.83778,2.72828,-4.20336,0,0,0,0.000180468,1.82393,-1.41719,0.000782029,0.0341085,-0.117004,0,1.82723,-1.42419,7.71E-07,0.086054,-0.251604,-0.44391,0.100034,-0.188205,-0.442675,0.1,-0.1878
-0.00713,-0.140662,0.000424,2.83338,2.69444,-4.22648,0,0,0,0.000180468,1.82393,-1.41731,0.000721873,0.0354921,-0.113635,0,1.82731,-1.42444,7.8E-07,0.0869634,-0.254297,-0.443878,0.100034,-0.188223,-0.442625,0.1,-0.187799
-0.00726,-0.137825,0.000416,2.82849,2.67357,-4.2405,0,0,0,0.000180468,1.82399,-1.41743,0.000721873,0.0398835,-0.119169,0,1.8274,-1.42469,7.88E-07,0.0878806,-0.256994,-0.443858,0.100034,-0.188214,-0.442573,0.1,-0.187798
-0.0074,-0.144969,0.000409,2.82342,2.63465,-4.26665,0,0,0,0.000180468,1.82405,-1.41755,0.000721873,0.0409663,-0.114718,0,1.82749,-1.42495,7.96E-07,0.0887966,-0.259687,-0.443837,0.100034,-0.188206,-0.442522,0.1,-0.187797
