q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
0.406609,1.845729,-0.016968,2.22754,2.20915,8.3981,-9.8,2.5,73.1,0.00517343,1.81625,-1.28587,-0.00114297,0.219931,-0.384939,0.000182399,1.61934,-0.879261,-0.00589534,-0.511287,1.46079,-0.475985,0.100879,-0.169624,-0.531668,0.100034,-0.186592
0.409125,1.805625,-0.016998,2.16916,1.84231,8.41664,-8.4,1.6,73.1,0.00517343,1.81649,-1.28624,-0.00120312,0.24279,-0.367975,0.000176556,1.61846,-0.877115,-0.00580505,-0.503138,1.43765,-0.475937,0.100879,-0.169575,-0.531936,0.100033,-0.186573
0.411663,1.815681,-0.017018,2.20587,2.0448,8.3798,-8.4,1.6,73.1,0.00517343,1.81673,-1.28666,-0.00120312,0.238218,-0.401301,0.000170805,1.61759,-0.874997,-0.00571411,-0.494916,1.41438,-0.475876,0.100878,-0.169536,-0.532199,0.100032,-0.186554
0.414112,1.784521,-0.01705,2.17091,1.81314,8.38842,-8.4,1.6,73.1,0.00517343,1.81697,-1.28702,-0.00114297,0.253077,-0.393361,0.000165144,1.61673,-0.872908,-0.00562327,-0.48674,1.39116,-0.475828,0.100878,-0.169486,-0.532459,0.100031,-0.186536
0.416593,1.766033,-0.01707,2.2008,1.93852,8.38286,-6.7,2.1,73.1,0.00517343,1.81721,-1.28744,-0.00120312,0.241106,-0.398233,0.000159575,1.61589,-0.870847,-0.00553179,-0.478493,1.3678,-0.475766,0.100878,-0.169448,-0.532714,0.10003,-0.186518
0.419044,1.765082,-0.017091,2.22263,2.04708,8.35801,-6.7,2.1,73.1,0.00517343,1.81746,-1.28786,-0.00114297,0.239722,-0.420672,0.000154097,1.61505,-0.868816,-0.00544006,-0.470235,1.34441,-0.475704,0.100878,-0.169409,-0.532965,0.100029,-0.1865
0.421467,1.722702,-0.017112,2.21142,1.9235,8.37869,-6.7,2.1,76,0.00517343,1.8177,-1.28828,-0.00114297,0.23888,-0.401722,0.000148711,1.61423,-0.866813,-0.00534807,-0.461966,1.32098,-0.475642,0.100878,-0.16937,-0.533211,0.100028,-0.186482
0.423859,1.73277,-0.017105,2.27513,2.26614,8.34146,-2.1,2.3,76,0.00517343,1.81788,-1.2887,-0.00120312,0.221495,-0.43529,0.000143418,1.61342,-0.864841,-0.00525494,-0.453643,1.29748,-0.47557,0.100878,-0.16936,-0.533453,0.100027,-0.186465
0.426222,1.712508,-0.017126,2.29873,2.35561,8.33781,-2.1,2.3,76,0.00517343,1.81812,-1.28912,-0.00114297,0.21205,-0.438538,0.000138217,1.61262,-0.862898,-0.00516246,-0.445353,1.27397,-0.475508,0.100877,-0.169322,-0.533691,0.100026,-0.186448
0.428615,1.696378,-0.01711,2.35815,2.6391,8.32921,-2.1,2.3,79,0.00517343,1.8183,-1.2896,-0.00120312,0.186845,-0.446058,0.000133108,1.61183,-0.860985,-0.00506856,-0.43696,1.25032,-0.475421,0.100877,-0.169322,-0.533925,0.100025,-0.186432
