q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fz_foot
-0.150771,-0.072331,0.017547,3.368642,3.998993,-5.3638,0
-0.150837,-0.067605,0.017644,3.370532,4.013917,-5.352205,0
-0.150235,-0.047156,0.017859,3.373686,4.076473,-5.286176,0
-0.150891,-0.049409,0.017894,3.376558,4.073073,-5.303287,0
-0.150881,-0.050822,0.017996,3.378079,4.072003,-5.308266,0
-0.150906,-0.048679,0.018145,3.313077,3.758396,-5.466377,0
-0.150882,-0.028696,0.018222,3.328424,3.870598,-5.39326,0
-0.150853,-0.02881,0.018275,3.32091,3.830897,-5.413644,0
-0.150819,-0.034264,0.018375,3.325731,3.83961,-5.410963,0
-0.150781,-0.024803,0.018451,3.338237,3.916541,-5.362534,0
-0.150738,-0.028047,0.01855,3.356839,3.995355,-5.323028,0
-0.15075,-0.022401,0.018643,3.36901,4.062146,-5.282927,0
-0.150697,-0.021993,0.018741,3.374041,4.083882,-5.270137,0
-0.150699,-0.031464,0.018834,3.373347,4.056509,-5.291176,0
-0.150636,-0.026382,0.018931,3.37663,4.080572,-5.272066,0
-0.150628,-0.032348,0.018999,3.375191,4.05739,-5.287842,0
-0.150615,-0.028581,0.01909,3.376789,4.069604,-5.277721,0
-0.150597,-0.026384,0.019157,3.349023,3.938926,-5.341738,0
-0.150574,-0.027835,0.019224,3.353225,3.95217,-5.335869,0
-0.150545,-0.0216,0.019314,3.357192,3.981819,-5.313137,0
-0.150512,-0.033392,0.019404,3.354451,3.940408,-5.341673,0
-0.150473,-0.029042,0.019493,3.364556,3.995495,-5.306673,0
-0.150489,-0.044676,0.019576,3.362982,3.950434,-5.341564,0
-0.150505,-0.032813,0.019772,3.371618,4.010384,-5.298739,0
-0.150503,-0.034842,0.019865,3.372167,4.003707,-5.301403,0
-0.150495,-0.035528,0.019947,3.372465,4.000434,-5.301978,0
-0.150481,-0.035173,0.020028,3.372974,4.000475,-5.299969,0
-0.150462,-0.028662,0.02011,3.375799,4.024957,-5.280501,0
-0.150438,-0.035427,0.020191,3.373402,3.995836,-5.298917,0
-0.150407,-0.033029,0.020271,3.3744,4.002823,-5.29151,0
