q_err_KP,qdot_err_KP,Tor_HR,Tor_HP,Tor_KP,z_error,Fx_foot,Fy_foot,Fz_foot,IMU_Roll,IMU_Pitch,IMU_Yaw
-0.011,-0.172182,2.88171,2.86001,-4.2379,0.000741,0,0,0,0.00836062,0.0330235,-0.887984
-0.01118,-0.181894,2.87674,2.81623,-4.26785,0.000734,0,0,0,0.00836062,0.0330235,-0.887984
-0.01131,-0.177502,2.8776,2.82787,-4.26415,0.000763,0,0,0,0.00836062,0.0330235,-0.887984
-0.0115,-0.178665,2.87877,2.83017,-4.2682,0.000757,0,0,0,0.00836062,0.0330235,-0.887984
-0.01169,-0.180719,2.87728,2.81791,-4.27922,0.000777,0,0,0,0.00836062,0.0330235,-0.887984
-0.01189,-0.178438,2.88163,2.8404,-4.27162,0.000797,0,0,0,0.00836062,0.0330235,-0.887984
-0.01203,-0.171452,2.89466,2.91673,-4.23446,0.0008,0,0,0,0.00836062,0.0330235,-0.887984
-0.01223,-0.182939,2.8908,2.87549,-4.26355,0.00082,0,0,0,0.00836062,0.0330235,-0.887984
-0.01237,-0.180931,2.89402,2.89474,-4.25694,0.000849,0,0,0,0.00836062,0.0330235,-0.887984
-0.01258,-0.182965,2.90282,2.93453,-4.24194,0.000869,0,0,0,0.00836062,0.0330235,-0.887984
-0.01273,-0.175054,2.91935,3.03207,-4.19328,0.000899,0,0,0,0.00836062,0.0330235,-0.887984
-0.01294,-0.18424,2.92122,3.0239,-4.20512,0.000919,0,0,0,0.00836062,0.0330235,-0.887984
-0.01309,-0.183599,2.92729,3.05522,-4.19265,0.000948,0,0,0,0.00836062,0.0330235,-0.887984
-0.01325,-0.181271,2.93372,3.09107,-4.1778,0.000978,0,0,0,0.00836062,0.0330235,-0.887984
-0.01347,-0.197483,2.92767,3.03007,-4.21884,0.000998,0,0,0,0.00836062,0.0330235,-0.887984
-0.01363,-0.179565,2.94257,3.13681,-4.16246,0.001027,0,0,0,0.00836062,0.0330235,-0.887984
-0.01367,-0.182542,2.94531,3.14566,-4.16175,0.001074,0,0,0,0.00836062,0.0330235,-0.887984
-0.01402,-0.185182,2.94628,3.14252,-4.17123,0.001077,0,0,0,0.00836062,0.0330235,-0.887984
-0.01425,-0.206431,2.93524,3.04788,-4.22979,0.001098,0,0,0,0.00836062,0.0330235,-0.887984
-0.01442,-0.202694,2.9405,3.08022,-4.21621,0.001126,0,0,0,0.00836062,0.0330235,-0.887984
-0.01465,-0.21107,2.93757,3.0485,-4.24027,0.00112,0,0,0,0.00836062,0.0330235,-0.887984
-0.01483,-0.202992,2.94456,3.09765,-4.21613,0.00115,0,0,0,0.00836062,0.0330235,-0.887984
-0.01507,-0.221587,2.92239,2.94968,-4.30307,0.001144,0,0,0,0.00836062,0.0330235,-0.887984
-0.01525,-0.210072,2.90297,2.87,-4.34411,0.001173,0,0,0,0.00836062,0.0330235,-0.887984
-0.0155,-0.214633,2.9041,2.86582,-4.35275,0.001194,0,0,0,0.00836062,0.0330235,-0.887984
-0.01567,-0.217797,2.91044,2.89132,-4.34482,0.001197,0,0,0,0.00836062,0.0330235,-0.887984
-0.01592,-0.2262,2.90952,2.87011,-4.36303,0.001218,0,0,0,0.00836062,0.0330235,-0.887984
-0.01611,-0.216713,2.91727,2.9252,-4.33595,0.001247,0,0,0,0.00836062,0.0330235,-0.887984
-0.01631,-0.218952,2.9194,2.93071,-4.33826,0.001277,0,0,0,0.00836062,0.0330235,-0.887984
-0.01656,-0.221086,2.92896,2.97377,-4.32185,0.001297,0,0,0,0.00836062,0.0330235,-0.887984
-0.01676,-0.219707,2.93782,3.02026,-4.30159,0.001327,0,0,0,0.00836062,0.0330235,-0.887984
-0.01696,-0.221571,2.9428,3.04094,-4.29605,0.001356,0,0,0,0.00836062,0.0330235,-0.887984
-0.01717,-0.226499,2.94467,3.04032,-4.3023,0.001385,0,0,0,0.00836062,0.0330235,-0.887984
-0.01743,-0.22669,2.94881,3.05907,-4.29784,0.001406,0,0,0,0.00836062,0.0330235,-0.887984
-0.01764,-0.235338,2.947,3.03331,-4.31779,0.001436,0,0,0,0.00836062,0.0330235,-0.887984
-0.01785,-0.226838,2.95585,3.09193,-4.28963,0.001465,0,0,0,0.00836062,0.0330235,-0.887984
-0.01807,-0.231146,2.95638,3.08549,-4.29873,0.001494,0,0,0,0.00836062,0.0330235,-0.887984
-0.01834,-0.240944,2.95333,3.0505,-4.32489,0.001516,0,0,0,0.00836062,0.0330235,-0.887984
-0.01856,-0.241694,2.95556,3.05918,-4.32477,0.001545,0,0,0,0.00836062,0.0330235,-0.887984
-0.01878,-0.238167,2.96069,3.08999,-4.31247,0.001575,0,0,0,0.00836062,0.0330235,-0.887984
-0.01907,-0.250066,2.9555,3.04005,-4.34724,0.001569,0,0,0,0.00836062,0.0330235,-0.887984
-0.01929,-0.252486,2.95579,3.03609,-4.35379,0.001599,0,0,0,0.00836062,0.0330235,-0.887984
-0.01952,-0.252555,2.95803,3.04561,-4.35367,0.001628,0,0,0,0.00836062,0.0330235,-0.887984
-0.01981,-0.2568,2.94413,2.96479,-4.40192,0.001622,0,0,0,0.00836062,0.0330235,-0.887984
-0.02004,-0.258844,2.92788,2.87705,-4.45145,0.001652,0,0,0,0.00836062,0.0330235,-0.887984
-0.02028,-0.257094,2.93261,2.90246,-4.44262,0.001682,0,0,0,0.00836062,0.0330235,-0.887984
-0.02052,-0.264243,2.93065,2.87808,-4.46197,0.001711,0,0,0,0.00836062,0.0330235,-0.887984
-0.02082,-0.268279,2.93724,2.90219,-4.45611,0.001733,0,0,0,0.00836062,0.0330235,-0.887984
-0.02106,-0.260388,2.94961,2.97754,-4.41946,0.001736,0,0,0,0.00836062,0.0330235,-0.887984
-0.0213,-0.271191,2.94534,2.93495,-4.44907,0.001765,0,0,0,0.00836062,0.0330235,-0.887984
-0.0216,-0.268475,2.94911,2.95655,-4.44253,0.001787,0,0,0,0.00836062,0.0330235,-0.887984
-0.02185,-0.270906,2.94956,2.95291,-4.44944,0.001816,0,0,0,0.00836062,0.0330235,-0.887984
-0.0221,-0.267798,2.9537,2.97761,-4.44054,0.001846,0,0,0,0.00836062,0.0330235,-0.887984
-0.02242,-0.279685,2.94863,2.92822,-4.47498,0.001867,0,0,0,0.00836062,0.0330235,-0.887984
-0.02267,-0.283545,2.95138,2.93369,-4.47771,0.001897,0,0,0,0.00836062,0.0330235,-0.887984
-0.02293,-0.28752,2.95393,2.93768,-4.48171,0.001926,0,0,0,0.00836062,0.0330235,-0.887984
-0.02319,-0.285956,2.9591,2.96485,-4.47199,0.001957,0,0,0,0.00836062,0.0330235,-0.887984
-0.02352,-0.295658,2.95676,2.93314,-4.49672,0.001977,0,0,0,0.00836062,0.0330235,-0.887984
-0.02366,-0.284533,2.96793,3.00924,-4.45713,0.002025,0,0,0,0.00836062,0.0330235,-0.887984
-0.02411,-0.286992,2.96896,3.00581,-4.46739,0.002029,0,0,0,0.00836062,0.0330235,-0.887984
-0.02438,-0.30965,2.95719,2.90433,-4.53005,0.002058,0,0,0,0.00836062,0.0330235,-0.887984
-0.02471,-0.296954,2.96804,2.97936,-4.49323,0.002079,0,0,0,0.00836062,0.0330235,-0.887984
-0.02499,-0.30721,2.96425,2.93999,-4.52109,0.00211,0,0,0,0.00835327,0.0330298,-0.887984
-0.02526,-0.308556,2.96614,2.94506,-4.52381,0.002139,0,0,0,0.00835327,0.0330298,-0.887984
-0.0256,-0.308718,2.96859,2.95457,-4.52446,0.00216,0,0,0,0.00835819,0.0330258,-0.887979
-0.02589,-0.310836,2.96964,2.95424,-4.52974,0.002191,0,0,0,0.00835819,0.0330258,-0.887979
-0.02617,-0.312709,2.97097,2.95543,-4.53466,0.002221,0,0,0,0.00835819,0.0330258,-0.887979
-0.02652,-0.305757,2.97773,2.9995,-4.51534,0.002241,0,0,0,0.00835819,0.0330258,-0.887979
-0.0268,-0.310988,2.9766,2.98243,-4.53022,0.002271,0,0,0,0.00835819,0.0330258,-0.887979
-0.02709,-0.313024,2.97781,2.98269,-4.53571,0.002302,0,0,0,0.00835819,0.0330258,-0.887979
-0.02739,-0.308257,2.98308,3.0158,-4.52206,0.002332,0,0,0,0.00835819,0.0330258,-0.887979
-0.02768,-0.313893,2.98188,2.99739,-4.5382,0.002362,0,0,0,0.00835819,0.0330258,-0.887979
-0.02804,-0.326526,2.97633,2.94373,-4.57537,0.002382,0,0,0,0.00835819,0.0330258,-0.887979
-0.02833,-0.30929,2.98902,3.03704,-4.52644,0.002412,0,0,0,0.00835819,0.0330258,-0.887979
-0.02863,-0.336385,2.97454,2.91258,-4.60406,0.002443,0,0,0,0.00835819,0.0330258,-0.887979
-0.02899,-0.320727,2.98645,2.99821,-4.5607,0.002464,0,0,0,0.00835819,0.0330258,-0.887979
-0.0293,-0.328741,2.98356,2.96705,-4.58379,0.002494,0,0,0,0.00835819,0.0330258,-0.887979
-0.02961,-0.331637,2.98398,2.96159,-4.59259,0.002524,0,0,0,0.00835819,0.0330258,-0.887979
-0.02992,-0.343911,2.97853,2.90952,-4.62824,0.002554,0,0,0,0.00835819,0.0330258,-0.887979
-0.03029,-0.348084,2.9781,2.89686,-4.64172,0.002576,0,0,0,0.00835819,0.0330258,-0.887979
-0.0306,-0.349878,2.97896,2.8958,-4.64746,0.002606,0,0,0,0.00835819,0.0330258,-0.887979
-0.03098,-0.350371,2.98085,2.90144,-4.65048,0.002627,0,0,0,0.00835819,0.0330258,-0.887979
-0.0313,-0.347163,2.9848,2.92501,-4.64196,0.002657,0,0,0,0.00835819,0.0330258,-0.887979
-0.03162,-0.36434,2.97636,2.84874,-4.6918,0.002687,0,0,0,0.00835819,0.0330258,-0.887979
-0.032,-0.363552,2.97898,2.86039,-4.69125,0.002709,0,0,0,0.00835819,0.0330258,-0.887979
-0.03233,-0.356056,2.98546,2.90446,-4.67085,0.00274,0,0,0,0.00835819,0.0330258,-0.887979
-0.03271,-0.36783,2.98035,2.85417,-4.7063,0.002761,0,0,0,0.00835819,0.0330258,-0.887979
-0.03304,-0.366155,2.98334,2.86997,-4.70233,0.002791,0,0,0,0.00835819,0.0330258,-0.887979
-0.03343,-0.364491,2.98918,2.89959,-4.69216,0.002839,0,0,0,0.00835819,0.0330258,-0.887979
-0.03377,-0.37953,2.98485,2.84798,-4.72863,0.002869,0,0,0,0.00835819,0.0330258,-0.887979
-0.03416,-0.378948,2.98698,2.85663,-4.72975,0.00289,0,0,0,0.00835819,0.0330258,-0.887979
-0.0345,-0.373944,2.99177,2.88754,-4.71697,0.002921,0,0,0,0.00835819,0.0330258,-0.887979
-0.0349,-0.385081,2.98704,2.84018,-4.75078,0.002942,0,0,0,0.00835819,0.0330258,-0.887979
-0.03524,-0.377237,2.99358,2.88503,-4.72994,0.002972,0,0,0,0.00835819,0.0330258,-0.887979
-0.03565,-0.395882,2.98421,2.80053,-4.78529,0.002994,0,0,0,0.00835819,0.0330258,-0.887979
-0.03599,-0.386704,2.99168,2.85248,-4.7604,0.003025,0,0,0,0.00835819,0.0330258,-0.887979
-0.0364,-0.400044,2.98535,2.79294,-4.80122,0.003046,0,0,0,0.00835819,0.0330258,-0.887979
