q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.0017,-0.0949452,-6.1E-05,2.78468,2.31137,-4.08813,0,0,0,0.000180468,1.82893,-1.40001,0.00186484,0.0247843,-0.0315218,0,1.82941,-1.40171,-5.37E-07,0.0422568,-0.126467,-0.449354,0.100033,-0.183371,-0.449,0.1,-0.183432
-0.00183,-0.0978682,-6.1E-05,2.78462,2.33773,-4.09612,0,0,0,0.000180468,1.82893,-1.40001,0.00186484,0.0247843,-0.0315218,0,1.82946,-1.40184,-5.49E-07,0.0432334,-0.12939,-0.449354,0.100033,-0.183371,-0.448974,0.1,-0.183432
-0.0019,-0.1048728,-5.3E-05,2.79534,2.41219,-4.08013,0,0,0,0.000180468,1.82893,-1.40007,0.00180468,0.0179265,-0.0274312,0,1.8295,-1.40197,-5.62E-07,0.044204,-0.132304,-0.449338,0.100033,-0.18338,-0.448948,0.1,-0.183433
-0.00203,-0.1079161,-8.1E-05,2.79956,2.45969,-4.07743,0,0,0,0.000180468,1.82899,-1.40007,0.00174453,0.0154601,-0.0273109,0,1.82955,-1.4021,-5.74E-07,0.0451844,-0.135227,-0.449349,0.100033,-0.183353,-0.448921,0.1,-0.183434
-0.00211,-0.1097453,-7.2E-05,2.80008,2.49086,-4.0822,0,0,0,0.000180468,1.82899,-1.40013,0.00168437,0.0156406,-0.0283937,0,1.82959,-1.40224,-5.87E-07,0.0461538,-0.138139,-0.449334,0.100033,-0.183362,-0.448894,0.1,-0.183434
-0.00225,-0.1124818,-7.3E-05,2.80026,2.51818,-4.08976,0,0,0,0.000180468,1.82899,-1.40013,0.00162421,0.0156406,-0.0285742,0,1.82964,-1.40238,-5.99E-07,0.0471285,-0.141056,-0.449334,0.100033,-0.183362,-0.448866,0.1,-0.183435
-0.00233,-0.1176156,-6.3E-05,2.79887,2.53429,-4.10317,0,0,0,0.000180468,1.82899,-1.40019,0.00162421,0.0156406,-0.0263484,0,1.82968,-1.40252,-6.11E-07,0.0480966,-0.143964,-0.449318,0.100033,-0.183372,-0.448837,0.1,-0.183435
-0.00248,-0.1225148,-6.4E-05,2.80201,2.57307,-4.10544,0,0,0,0.000180468,1.82899,-1.40019,0.00156406,0.0133547,-0.0243632,0,1.82973,-1.40267,-6.24E-07,0.0490702,-0.146878,-0.449318,0.100033,-0.183372,-0.448808,0.1,-0.183436
-0.00263,-0.1252463,-6.5E-05,2.80703,2.62363,-4.10034,0,0,0,0.000180468,1.82899,-1.40019,0.0015039,0.0108281,-0.0245437,0,1.82978,-1.40282,-6.36E-07,0.0500433,-0.14979,-0.449318,0.100033,-0.183372,-0.448779,0.1,-0.183437
-0.00272,-0.1290526,-5.6E-05,2.80966,2.63037,-4.10186,0,0,0,0.000180468,1.82899,-1.40025,0.0015039,0.00920388,-0.0236414,0,1.82983,-1.40297,-6.49E-07,0.0510095,-0.152694,-0.449302,0.100033,-0.183381,-0.448748,0.1,-0.183437
-0.00287,-0.132082,-5.7E-05,2.81207,2.63633,-4.10404,0,0,0,0.000180468,1.82899,-1.40025,0.00144375,0.00794061,-0.023521,0,1.82988,-1.40312,-6.61E-07,0.0519815,-0.155603,-0.449302,0.100033,-0.183381,-0.448717,0.1,-0.183438
-0.00303,-0.1350501,-5.8E-05,2.81379,2.63894,-4.1079,0,0,0,0.000180468,1.82899,-1.40025,0.00138359,0.00703826,-0.0234609,0,1.82994,-1.40328,-6.73E-07,0.0529529,-0.158511,-0.449302,0.100033,-0.183381,-0.448686,0.1,-0.183439
-0.00313,-0.1423997,-4.9E-05,2.81244,2.61944,-4.1239,0,0,0,0.000180468,1.82899,-1.40031,0.00138359,0.00625624,-0.0190093,0,1.82999,-1.40344,-6.86E-07,0.0539172,-0.161409,-0.449287,0.100033,-0.18339,-0.448654,0.1,-0.183439
